PT,TM,HG
1000.00000,22.7181208,-1942.0712
1000.00000,22.9362416,-1757.5219
1000.00000,23.1543624,-1572.9236
1000.00000,23.3724832,-1388.2764
1000.00000,23.5906040,-1203.5802
1000.00000,23.8087248,-1018.8350
1000.00000,24.0268456,-834.04102
1000.00000,24.2449664,-649.19809
1000.00000,24.4630872,-464.30628
1000.00000,24.6812081,-279.36560
1000.00000,24.8993289,-94.376070
1000.00000,25.1174497,90.6622943
1000.00000,25.3355705,275.749479
1000.00000,25.5536913,460.885469
1000.00000,25.7718121,646.070249
1000.00000,25.9899329,831.303803
1000.00000,26.2080537,1016.58612
1000.00000,26.4261745,1201.91717
1000.00000,26.6442953,1387.29696
1000.00000,26.8624161,1572.72545
1000.00000,27.0805369,1758.20264
1000.00000,27.2986577,1943.72852
1000.00000,27.5167785,2129.30306
1000.00000,27.7348993,2314.92624
1000.00000,27.9530201,2500.59807
1000.00000,28.1711409,2686.31851
1000.00000,28.3892617,2872.08755
1000.00000,28.6073826,3057.90518
1000.00000,28.8255034,3243.77138
1000.00000,29.0436242,3429.68613
1000.00000,29.2617450,3615.64943
1000.00000,29.4798658,3801.66124
1000.00000,29.6979866,3987.72157
1000.00000,29.9161074,4173.83038
1000.00000,30.1342282,4359.98767
1000.00000,30.3523490,4546.19342
1000.00000,30.5704698,4732.44761
1000.00000,30.7885906,4918.75022
1000.00000,31.0067114,5105.10165
1000.00000,31.2248322,5291.50423
1000.00000,31.4429530,5477.95535
1000.00000,31.6610738,5664.45499
1000.00000,31.8791946,5851.00314
1000.00000,32.0973154,6037.59977
1000.00000,32.3154362,6224.24487
1000.00000,32.5335570,6410.93843
1000.00000,32.7516779,6597.68042
1000.00000,32.9697987,6784.47083
1000.00000,33.1879195,6971.30964
1000.00000,33.4060403,7158.19684
1000.00000,33.6241611,7345.13241
1000.00000,33.8422819,7532.11633
1000.00000,34.0604027,7719.14859
1000.00000,34.2785235,7906.22916
1000.00000,34.4966443,8093.35803
1000.00000,34.7147651,8280.53518
1000.00000,34.9328859,8467.76060
1000.00000,35.1510067,8655.03427
1000.00000,35.3691275,8842.35617
1000.00000,35.5872483,9029.72628
1000.00000,35.8053691,9217.14459
1000.00000,36.0234899,9404.61108
1000.00000,36.2416107,9592.12573
1000.00000,36.4597315,9779.68853
1000.00000,36.6778523,9967.29945
1000.00000,36.8959732,10154.9585
1000.00000,37.1140940,10342.6656
1000.00000,37.3322148,10530.4208
1000.00000,37.5503356,10718.2241
1000.00000,37.7684564,10906.0754
1000.00000,37.9865772,11093.9747
1000.00000,38.2046980,11281.9220
1000.00000,38.4228188,11469.9173
1000.00000,38.6409396,11657.9606
1000.00000,38.8590604,11846.0518
1000.00000,39.0771812,12034.1910
1000.00000,39.2953020,12222.3781
1000.00000,39.5134228,12410.6130
1000.00000,39.7315436,12598.8959
1000.00000,39.9496644,12787.2266
1000.00000,40.1677852,12975.6052
1000.00000,40.3859060,13164.0316
1000.00000,40.6040268,13352.5058
1000.00000,40.8221477,13541.0278
1000.00000,41.0402685,13729.5976
1000.00000,41.2583893,13918.2151
1000.00000,41.4765101,14106.8804
1000.00000,41.6946309,14295.5934
1000.00000,41.9127517,14484.3541
1000.00000,42.1308725,14673.1624
1000.00000,42.3489933,14862.0185
1000.00000,42.5671141,15050.9222
1000.00000,42.7852349,15239.8735
1000.00000,43.0033557,15428.8724
1000.00000,43.2214765,15617.9190
1000.00000,43.4395973,15807.0131
1000.00000,43.6577181,15996.1547
1000.00000,43.8758389,16185.3440
1000.00000,44.0939597,16374.5807
1000.00000,44.3120805,16563.8649
1000.00000,44.5302013,16753.1966
1000.00000,44.7483221,16942.5758
1000.00000,44.9664430,17132.0025
1000.00000,45.1845638,17321.4765
1000.00000,45.4026846,17510.9980
1000.00000,45.6208054,17700.5669
1000.00000,45.8389262,17890.1832
1000.00000,46.0570470,18079.8468
1000.00000,46.2751678,18269.5548
1000.00000,46.4932886,18459.3057
1000.00000,46.7114094,18649.1037
1000.00000,46.9295302,18838.9486
1000.00000,47.1476510,19028.8406
1000.00000,47.3657718,19218.7795
1000.00000,47.5838926,19408.7654
1000.00000,47.8020134,19598.7982
1000.00000,48.0201342,19788.8779
1000.00000,48.2382550,19979.0045
1000.00000,48.4563758,20169.1780
1000.00000,48.6744966,20359.3983
1000.00000,48.8926174,20549.6655
1000.00000,49.1107383,20739.9796
1000.00000,49.3288591,20930.3404
1000.00000,49.5469799,21120.7480
1000.00000,49.7651007,21311.2024
1000.00000,49.9832215,21501.7036
1000.00000,50.2013423,21692.2515
1000.00000,50.4194631,21882.8461
1000.00000,50.6375839,22073.4874
1000.00000,50.8557047,22264.1754
1000.00000,51.0738255,22454.9101
1000.00000,51.2919463,22645.6914
1000.00000,51.5100671,22836.5193
1000.00000,51.7281879,23027.3939
1000.00000,51.9463087,23218.3150
1000.00000,52.1644295,23409.2827
1000.00000,52.3825503,23600.2970
1000.00000,52.6006711,23791.3579
1000.00000,52.8187919,23982.4652
1000.00000,53.0369128,24173.6191
1000.00000,53.2550336,24364.8194
1000.00000,53.4731544,24556.0662
1000.00000,53.6912752,24747.3595
1000.00000,53.9093960,24938.6992
1000.00000,54.1275168,25130.0853
1000.00000,54.3456376,25321.5178
1000.00000,54.5637584,25512.9967
1000.00000,54.7818792,25704.5219
1000.00000,55.0000000,25896.0935
47976.5101,-10.000000,-29565.552
47976.5101,-9.7818792,-29387.860
47976.5101,-9.5637584,-29210.119
47976.5101,-9.3456376,-29032.329
47976.5101,-9.1275168,-28854.491
47976.5101,-8.9093960,-28676.603
47976.5101,-8.6912752,-28498.667
47976.5101,-8.4731544,-28320.683
47976.5101,-8.2550336,-28142.649
47976.5101,-8.0369128,-27964.567
47976.5101,-7.8187919,-27786.436
47976.5101,-7.6006711,-27608.257
47976.5101,-7.3825503,-27430.028
47976.5101,-7.1644295,-27251.751
47976.5101,-6.9463087,-27073.425
47976.5101,-6.7281879,-26895.051
47976.5101,-6.5100671,-26716.627
47976.5101,-6.2919463,-26538.155
47976.5101,-6.0738255,-26359.634
47976.5101,-5.8557047,-26181.065
47976.5101,-5.6375839,-26002.447
47976.5101,-5.4194631,-25823.780
47976.5101,-5.2013423,-25645.064
47976.5101,-4.9832215,-25466.300
47976.5101,-4.7651007,-25287.487
47976.5101,-4.5469799,-25108.625
47976.5101,-4.3288591,-24929.714
47976.5101,-4.1107383,-24750.755
47976.5101,-3.8926174,-24571.747
47976.5101,-3.6744966,-24392.690
47976.5101,-3.4563758,-24213.585
47976.5101,-3.2382550,-24034.431
47976.5101,-3.0201342,-23855.228
47976.5101,-2.8020134,-23675.977
47976.5101,-2.5838926,-23496.677
47976.5101,-2.3657718,-23317.328
47976.5101,-2.1476510,-23137.930
47976.5101,-1.9295302,-22958.484
47976.5101,-1.7114094,-22778.989
47976.5101,-1.4932886,-22599.446
47976.5101,-1.2751678,-22419.854
47976.5101,-1.0570470,-22240.213
47976.5101,-.83892617,-22060.523
47976.5101,-.62080537,-21880.785
47976.5101,-.40268456,-21700.998
47976.5101,-.18456376,-21521.163
47976.5101,.033557047,-21341.278
47976.5101,.251677852,-21161.346
47976.5101,.469798658,-20981.364
47976.5101,.687919463,-20801.334
47976.5101,.906040268,-20621.256
47976.5101,1.12416107,-20441.128
47976.5101,1.34228188,-20260.952
47976.5101,1.56040268,-20080.728
47976.5101,1.77852349,-19900.455
47976.5101,1.99664430,-19720.133
47976.5101,2.21476510,-19539.762
47976.5101,2.43288591,-19359.343
47976.5101,2.65100671,-19178.876
47976.5101,2.86912752,-18998.360
47976.5101,3.08724832,-18817.795
47976.5101,3.30536913,-18637.182
47976.5101,3.52348993,-18456.520
47976.5101,3.74161074,-18275.809
47976.5101,3.95973154,-18095.050
47976.5101,4.17785235,-17914.243
47976.5101,4.39597315,-17733.386
47976.5101,4.61409396,-17552.482
47976.5101,4.83221477,-17371.528
47976.5101,5.05033557,-17190.527
47976.5101,5.26845638,-17009.476
47976.5101,5.48657718,-16828.378
47976.5101,5.70469799,-16647.230
47976.5101,5.92281879,-16466.034
47976.5101,6.14093960,-16284.790
47976.5101,6.35906040,-16103.497
47976.5101,6.57718121,-15922.156
47976.5101,6.79530201,-15740.766
47976.5101,7.01342282,-15559.328
47976.5101,7.23154362,-15377.841
47976.5101,7.44966443,-15196.306
47976.5101,7.66778523,-15014.722
47976.5101,7.88590604,-14833.090
47976.5101,8.10402685,-14651.409
47976.5101,8.32214765,-14469.680
47976.5101,8.54026846,-14287.903
47976.5101,8.75838926,-14106.077
47976.5101,8.97651007,-13924.202
47976.5101,9.19463087,-13742.279
47976.5101,9.41275168,-13560.308
47976.5101,9.63087248,-13378.289
47976.5101,9.84899329,-13196.221
47976.5101,10.0671141,-13014.104
47976.5101,10.2852349,-12831.940
47976.5101,10.5033557,-12649.727
47976.5101,10.7214765,-12467.465
47976.5101,10.9395973,-12285.155
47976.5101,11.1577181,-12102.797
47976.5101,11.3758389,-11920.391
47976.5101,11.5939597,-11737.936
47976.5101,11.8120805,-11555.433
47976.5101,12.0302013,-11372.881
47976.5101,12.2483221,-11190.281
47976.5101,12.4664430,-11007.633
47976.5101,12.6845638,-10824.937
47976.5101,12.9026846,-10642.192
47976.5101,13.1208054,-10459.399
47976.5101,13.3389262,-10276.558
47976.5101,13.5570470,-10093.669
47976.5101,13.7751678,-9910.7311
47976.5101,13.9932886,-9727.7451
47976.5101,14.2114094,-9544.7109
47976.5101,14.4295302,-9361.6285
47976.5101,14.6476510,-9178.4979
47976.5101,14.8657718,-8995.3190
47976.5101,15.0838926,-8812.0920
47976.5101,15.3020134,-8628.8168
47976.5101,15.5201342,-8445.4933
47976.5101,15.7382550,-8262.1218
47976.5101,15.9563758,-8078.7020
47976.5101,16.1744966,-7895.2341
47976.5101,16.3926174,-7711.7180
47976.5101,16.6107383,-7528.1538
47976.5101,16.8288591,-7344.5415
47976.5101,17.0469799,-7160.8811
47976.5101,17.2651007,-6977.1725
47976.5101,17.4832215,-6793.4159
47976.5101,17.7013423,-6609.6111
47976.5101,17.9194631,-6425.7583
47976.5101,18.1375839,-6241.8574
47976.5101,18.3557047,-6057.9085
47976.5101,18.5738255,-5873.9115
47976.5101,18.7919463,-5689.8664
47976.5101,19.0100671,-5505.7733
47976.5101,19.2281879,-5321.6322
47976.5101,19.4463087,-5137.4431
47976.5101,19.6644295,-4953.2059
47976.5101,19.8825503,-4768.9208
47976.5101,20.1006711,-4584.5877
47976.5101,20.3187919,-4400.2066
47976.5101,20.5369128,-4215.7776
47976.5101,20.7550336,-4031.3006
47976.5101,20.9731544,-3846.7756
47976.5101,21.1912752,-3662.2028
47976.5101,21.4093960,-3477.5820
47976.5101,21.6275168,-3292.9132
47976.5101,21.8456376,-3108.1966
47976.5101,22.0637584,-2923.4321
47976.5101,22.2818792,-2738.6197
47976.5101,22.5000000,-2553.7595
47976.5101,22.7181208,-2368.8513
47976.5101,22.9362416,-2183.8954
47976.5101,23.1543624,-1998.8916
47976.5101,23.3724832,-1813.8399
47976.5101,23.5906040,-1628.7405
47976.5101,23.8087248,-1443.5932
47976.5101,24.0268456,-1258.3981
47976.5101,24.2449664,-1073.1553
47976.5101,24.4630872,-887.86469
47976.5101,24.6812081,-702.52631
47976.5101,24.8993289,-517.14017
47976.5101,25.1174497,-331.70630
47976.5101,25.3355705,-146.22470
47976.5101,25.5536913,39.3046200
47976.5101,25.7718121,224.881647
47976.5101,25.9899329,410.506369
47976.5101,26.2080537,596.178776
47976.5101,26.4261745,781.898855
47976.5101,26.6442953,967.666596
47976.5101,26.8624161,1153.48199
47976.5101,27.0805369,1339.34502
47976.5101,27.2986577,1525.25567
47976.5101,27.5167785,1711.21394
47976.5101,27.7348993,1897.21981
47976.5101,27.9530201,2083.27328
47976.5101,28.1711409,2269.37433
47976.5101,28.3892617,2455.52294
47976.5101,28.6073826,2641.71911
47976.5101,28.8255034,2827.96282
47976.5101,29.0436242,3014.25407
47976.5101,29.2617450,3200.59283
47976.5101,29.4798658,3386.97911
47976.5101,29.6979866,3573.41288
47976.5101,29.9161074,3759.89413
47976.5101,30.1342282,3946.42286
47976.5101,30.3523490,4132.99905
47976.5101,30.5704698,4319.62268
47976.5101,30.7885906,4506.29375
47976.5101,31.0067114,4693.03151
47976.5101,31.2248322,4879.94925
47976.5101,31.4429530,5066.92206
47976.5101,31.6610738,5253.94991
47976.5101,31.8791946,5441.03276
47976.5101,32.0973154,5628.17056
47976.5101,32.3154362,5815.36328
47976.5101,32.5335570,6002.61088
47976.5101,32.7516779,6189.91331
47976.5101,32.9697987,6377.27054
47976.5101,33.1879195,6564.68252
47976.5101,33.4060403,6752.14922
47976.5101,33.6241611,6939.67059
47976.5101,33.8422819,7127.24660
47976.5101,34.0604027,7314.87720
47976.5101,34.2785235,7502.56237
47976.5101,34.4966443,7690.30204
47976.5101,34.7147651,7878.09620
47976.5101,34.9328859,8065.94479
47976.5101,35.1510067,8253.84777
47976.5101,35.3691275,8441.80512
47976.5101,35.5872483,8629.81678
47976.5101,35.8053691,8817.88272
47976.5101,36.0234899,9006.00290
47976.5101,36.2416107,9194.17728
47976.5101,36.4597315,9382.40583
47976.5101,36.6778523,9570.68849
47976.5101,36.8959732,9759.02524
47976.5101,37.1140940,9947.41603
47976.5101,37.3322148,10135.8608
47976.5101,37.5503356,10324.3596
47976.5101,37.7684564,10512.9123
47976.5101,37.9865772,10701.5189
47976.5101,38.2046980,10890.1793
47976.5101,38.4228188,11078.8935
47976.5101,38.6409396,11267.6616
47976.5101,38.8590604,11456.4833
47976.5101,39.0771812,11645.3588
47976.5101,39.2953020,11834.2879
47976.5101,39.5134228,12023.2706
47976.5101,39.7315436,12212.3069
47976.5101,39.9496644,12401.3968
47976.5101,40.1677852,12590.5402
47976.5101,40.3859060,12779.7370
47976.5101,40.6040268,12968.9873
47976.5101,40.8221477,13158.2910
47976.5101,41.0402685,13347.6480
47976.5101,41.2583893,13537.0583
47976.5101,41.4765101,13726.5220
47976.5101,41.6946309,13916.0389
47976.5101,41.9127517,14105.6090
47976.5101,42.1308725,14295.2322
47976.5101,42.3489933,14484.9086
47976.5101,42.5671141,14674.6381
47976.5101,42.7852349,14864.4207
47976.5101,43.0033557,15054.2563
47976.5101,43.2214765,15244.1448
47976.5101,43.4395973,15434.0864
47976.5101,43.6577181,15624.0808
47976.5101,43.8758389,15814.1282
47976.5101,44.0939597,16004.2283
47976.5101,44.3120805,16194.3813
47976.5101,44.5302013,16384.5871
47976.5101,44.7483221,16574.8456
47976.5101,44.9664430,16765.1568
47976.5101,45.1845638,16955.5207
47976.5101,45.4026846,17145.9372
47976.5101,45.6208054,17336.4063
47976.5101,45.8389262,17526.9279
47976.5101,46.0570470,17717.5021
47976.5101,46.2751678,17907.9866
47976.5101,46.4932886,18098.3133
